id,hedef,sira,enlem,boylam
542,ASB,29,38.420288,56.561318
543,ASB,30,38.206979,57.463838
544,ASB,31,37.986801,58.361000
545,ASR,0,41.275278,28.751944
546,ASR,1,41.200734,28.977211
547,ASR,2,41.125752,29.201964
548,ASR,3,41.050334,29.426202
549,ASR,4,40.974482,29.649926
550,ASR,5,40.898199,29.873134
551,ASR,6,40.821487,30.095826
552,ASR,7,40.744347,30.318003
553,ASR,8,40.666782,30.539663
554,ASR,9,40.588795,30.760807
555,ASR,10,40.510387,30.981434
556,ASR,11,40.431560,31.201545
557,ASR,12,40.352317,31.421139
558,ASR,13,40.272659,31.640216
559,ASR,14,40.192589,31.858776
560,ASR,15,40.112109,32.076820
561,ASR,16,40.031222,32.294346
562,ASR,17,39.949928,32.511356
563,ASR,18,39.868231,32.727850
564,ASR,19,39.786133,32.943827
565,ASR,20,39.703635,33.159288
566,ASR,21,39.620739,33.374234
567,ASR,22,39.537449,33.588664
568,ASR,23,39.453765,33.802579
569,ASR,24,39.369691,34.015978
570,ASR,25,39.285228,34.228864
571,ASR,26,39.200378,34.441235
572,ASR,27,39.115143,34.653093
573,ASR,28,39.029526,34.864438
574,ASR,29,38.943529,35.075270
575,ASR,30,38.857153,35.285591
576,ASR,31,38.770401,35.495399
577,ATH,0,41.275278,28.751944
578,ATH,1,41.170770,28.589446
579,ATH,2,41.066035,28.427466
580,ATH,3,40.961073,28.266002
581,ATH,4,40.855887,28.105051
582,ATH,5,40.750478,27.944611
583,ATH,6,40.644848,27.784680
584,ATH,7,40.538997,27.625254
585,ATH,8,40.432928,27.466332
586,ATH,9,40.326643,27.307911
587,ATH,10,40.220141,27.149988
588,ATH,11,40.113426,26.992562
589,ATH,12,40.006499,26.835630
590,ATH,13,39.899360,26.679189
591,ATH,14,39.792012,26.523236
592,ATH,15,39.684455,26.367771
593,ATH,16,39.576693,26.212789
594,ATH,17,39.468724,26.058289
595,ATH,18,39.360552,25.904268
596,ATH,19,39.252178,25.750723
597,ATH,20,39.143603,25.597654
598,ATH,21,39.034828,25.445056
599,ATH,22,38.925855,25.292927
600,ATH,23,38.816685,25.141266
601,ATH,24,38.707319,24.990069
602,ATH,25,38.597760,24.839334
603,ATH,26,38.488008,24.689060
604,ATH,27,38.378064,24.539242
605,ATH,28,38.267930,24.389880
606,ATH,29,38.157607,24.240971
607,ATH,30,38.047097,24.092511
608,ATH,31,37.936401,23.944500
609,AUH,0,41.275278,28.751944
610,AUH,1,40.830320,29.761178
611,AUH,2,40.376685,30.756826
612,AUH,3,39.914627,31.739036
613,AUH,4,39.444394,32.707966
614,AUH,5,38.966230,33.663790
615,AUH,6,38.480374,34.606696
616,AUH,7,37.987062,35.536879
617,AUH,8,37.486523,36.454548
618,AUH,9,36.978981,37.359916
619,AUH,10,36.464656,38.253208
620,AUH,11,35.943763,39.134651
621,AUH,12,35.416510,40.004480
622,AUH,13,34.883102,40.862934
623,AUH,14,34.343738,41.710254
624,AUH,15,33.798612,42.546687
625,AUH,16,33.247913,43.372479
626,AUH,17,32.691825,44.187880
627,AUH,18,32.130529,44.993138
628,AUH,19,31.564197,45.788504
629,AUH,20,30.993001,46.574228
630,AUH,21,30.417105,47.350559
631,AUH,22,29.836671,48.117746
632,AUH,23,29.251854,48.876035
633,AUH,24,28.662808,49.625673
634,AUH,25,28.069680,50.366904
635,AUH,26,27.472615,51.099968
636,AUH,27,26.871752,51.825106
637,AUH,28,26.267228,52.542556
638,AUH,29,25.659176,53.252550
639,AUH,30,25.047725,53.955322
640,AUH,31,24.433001,54.651100
641,AYT,0,41.275278,28.751944
642,AYT,1,41.134682,28.822172
643,AYT,2,40.994044,28.892099
644,AYT,3,40.853364,28.961728
645,AYT,4,40.712643,29.031062
646,AYT,5,40.571880,29.100104
647,AYT,6,40.431076,29.168856
648,AYT,7,40.290231,29.237320
649,AYT,8,40.149346,29.305500
650,AYT,9,40.008422,29.373397
651,AYT,10,39.867458,29.441015
652,AYT,11,39.726455,29.508355
653,AYT,12,39.585413,29.575420
654,AYT,13,39.444332,29.642213
655,AYT,14,39.303214,29.708736
656,AYT,15,39.162058,29.774991
657,AYT,16,39.020865,29.840980
658,AYT,17,38.879634,29.906707
659,AYT,18,38.738367,29.972173
660,AYT,19,38.597064,30.037380
661,AYT,20,38.455724,30.102331
662,AYT,21,38.314349,30.167028
663,AYT,22,38.172938,30.231473
664,AYT,23,38.031493,30.295668
665,AYT,24,37.890012,30.359616
666,AYT,25,37.748497,30.423319
667,AYT,26,37.606948,30.486779
668,AYT,27,37.465365,30.549997
669,AYT,28,37.323749,30.612976
670,AYT,29,37.182099,30.675719
671,AYT,30,37.040416,30.738226
672,AYT,31,36.898701,30.800501
673,BAH,0,41.275278,28.751944
674,BAH,1,40.861090,29.591934
675,BAH,2,40.440885,30.421408
676,BAH,3,40.014825,31.240506
677,BAH,4,39.583071,32.049373
678,BAH,5,39.145779,32.848159
679,BAH,6,38.703102,33.637022
680,BAH,7,38.255191,34.416121
681,BAH,8,37.802192,35.185620
682,BAH,9,37.344249,35.945687
683,BAH,10,36.881503,36.696492
684,BAH,11,36.414092,37.438206
685,BAH,12,35.942148,38.171005
686,BAH,13,35.465803,38.895063
687,BAH,14,34.985186,39.610557
688,BAH,15,34.500421,40.317663
689,BAH,16,34.011629,41.016560
690,BAH,17,33.518930,41.707424
691,BAH,18,33.022439,42.390433
692,BAH,19,32.522270,43.065763
693,BAH,20,32.018532,43.733590
694,BAH,21,31.511333,44.394089
695,BAH,22,31.000779,45.047434
696,BAH,23,30.486970,45.693798
697,BAH,24,29.970007,46.333352
698,BAH,25,29.449987,46.966266
699,BAH,26,28.927004,47.592708
700,BAH,27,28.401151,48.212844
701,BAH,28,27.872517,48.826839
702,BAH,29,27.341191,49.434856
703,BAH,30,26.807257,50.037056
704,BAH,31,26.270800,50.633598
705,BAL,0,41.275278,28.751944
706,BAL,1,41.188506,29.168919
707,BAL,2,41.100234,29.584780
708,BAL,3,41.010471,29.999515
709,BAL,4,40.919225,30.413113
710,BAL,5,40.826506,30.825561
711,BAL,6,40.732322,31.236849
712,BAL,7,40.636682,31.646965
713,BAL,8,40.539596,32.055898
714,BAL,9,40.441072,32.463639
715,BAL,10,40.341120,32.870179
716,BAL,11,40.239749,33.275506
717,BAL,12,40.136969,33.679614
718,BAL,13,40.032787,34.082492
719,BAL,14,39.927215,34.484134
720,BAL,15,39.820262,34.884530
721,BAL,16,39.711937,35.283675
722,BAL,17,39.602249,35.681559
723,BAL,18,39.491208,36.078178
724,BAL,19,39.378825,36.473524
725,BAL,20,39.265108,36.867592
726,BAL,21,39.150067,37.260375
727,BAL,22,39.033712,37.651870
728,BAL,23,38.916053,38.042070
729,BAL,24,38.797099,38.430971
730,BAL,25,38.676861,38.818569
731,BAL,26,38.555347,39.204860
732,BAL,27,38.432569,39.589841
733,BAL,28,38.308535,39.973508
734,BAL,29,38.183256,40.355859
735,BAL,30,38.056741,40.736890
736,BAL,31,37.929001,41.116600
737,BCN,0,41.275278,28.751944
738,BCN,1,41.372374,27.904233
739,BCN,2,41.463231,27.054070
740,BCN,3,41.547812,26.201604
741,BCN,4,41.626080,25.346987
742,BCN,5,41.698005,24.490378
743,BCN,6,41.763554,23.631936
744,BCN,7,41.822701,22.771823
745,BCN,8,41.875421,21.910207
746,BCN,9,41.921690,21.047256
747,BCN,10,41.961489,20.183139
748,BCN,11,41.994801,19.318031
749,BCN,12,42.021611,18.452105
750,BCN,13,42.041909,17.585537
751,BCN,14,42.055684,16.718505
752,BCN,15,42.062931,15.851185
753,BCN,16,42.063647,14.983757
754,BCN,17,42.057832,14.116398
755,BCN,18,42.045487,13.249287
756,BCN,19,42.026620,12.382603
757,BCN,20,42.001237,11.516521
758,BCN,21,41.969349,10.651218
759,BCN,22,41.930971,9.786869
760,BCN,23,41.886119,8.923648
761,BCN,24,41.834812,8.061724
762,BCN,25,41.777072,7.201268
763,BCN,26,41.712924,6.342445
764,BCN,27,41.642395,5.485420
765,BCN,28,41.565515,4.630353
766,BCN,29,41.482315,3.777402
767,BCN,30,41.392831,2.926721
768,BCN,31,41.297100,2.078460
769,BEG,0,41.275278,28.751944
770,BEG,1,41.398904,28.494671
771,BEG,2,41.521955,28.236420
772,BEG,3,41.644425,27.977187
